"gene","p-adj-Dead-Alive","mean-Alive","mean-Dead","SEM-Alive","SEM-Dead","Q1-Alive","Q1-Dead","Q3-Alive","Q3-Dead","count-Alive","count-Dead"
"ZNF195",0.338468836274668,342.865526056338,330.651681944444,8.44570101987181,9.50535450321168,237.44575,235.321075,433.51195,398.0342,284,216
"ZNF263",0.90860514948523,684.21246056338,686.582998148148,12.1107451458925,17.509818514858,532.941075,529.87405,802.7159,801.906825,284,216
"ZNF200",0.933764032672556,260.828319366197,261.550109722222,5.11070700327025,7.34360587925252,197.42515,197.013825,300.5518,304.528625,284,216
"ZNF582",0.113246569207272,22.3774799295775,25.5249111111111,1.20130332496536,1.63711223391586,7.814925,7.609875,31.18955,35.99385,284,216
"ZNF285",0.089175230251382,24.8258753521127,29.7905046296296,1.64588529757179,2.5478693285245,5.82375,5.67635,34.521875,40.415025,284,216
"ZNF275",0.444300199885299,647.897663732394,668.6963375,17.120284948582,21.5361581890873,456.941975,476.072,821.235975,799.039575,284,216
"ZNF37A",0.380638767178939,372.976396126761,359.164391203704,10.8953691286679,10.9777444830714,242.203525,248.846025,464.4708,449.2927,284,216
"ZNF510",0.246152307079131,206.894976056338,215.796619907407,4.89685839205624,5.98556522746397,145.330975,148.754,257.64145,256.744125,284,216
"ZNF506",0.337029176928486,264.437165492958,248.909305092593,11.9078129953394,9.90481044834811,141.374325,141.0931,329.78225,322.483425,284,216
"ZNF324",0.814315164822052,199.854401056338,201.6728125,4.84185949754554,6.18145688880376,141.391475,134.856075,241.57475,257.406025,284,216
"ZNF671",0.550699472990083,72.2346021126761,75.5710236111111,3.82396935788316,3.97091320336828,30.9933,34.5118,92.350925,99.521275,284,216
"ZNF416",0.242618930643585,127.265450704225,133.411896296296,3.2353184731416,4.26647026046107,88.4505,85.893775,160.80955,170.7455,284,216
"ZNF586",0.542081873834743,173.526870422535,178.732605555556,5.27866027205762,6.89681095602171,111.472075,114.697075,222.22765,218.446525,284,216
"ZNF446",0.19345412312355,226.946602816901,214.474605555556,7.11367682730007,5.75402438123557,154.31615,159.49185,268.923425,261.833825,284,216
"ZNF8",0.207646600445693,112.21856971831,118.899244444444,3.04802595201483,4.56154899115474,76.63345,73.018125,132.378975,148.74855,284,216
"ZNF264",0.0979071638539789,627.610600704225,670.214919444444,15.7123963441008,21.0057716230359,429.624825,450.956875,790.83,826.9164,284,216
"ZNF213",0.863641997902718,463.44516971831,460.591275925926,11.1998522207762,12.0764967112277,334.0162,348.06715,548.41985,530.7461,284,216
"ZNF343",0.790848546504118,303.942895774648,307.220781018518,8.46502462568516,8.76068209300158,208.095775,208.7518,362.9287,374.7515,284,216
"ZNF302",0.900331718177906,425.305183802817,422.22267037037,16.2093038863925,18.4783599681494,266.99305,272.04995,503.3066,478.935775,284,216
"ZNF268",0.0192911993035116,275.807711619718,302.940552777778,7.12481208104459,9.37593200626212,189.209625,205.23695,336.95815,392.787025,284,216
"ZNF184",0.832146469886012,256.843575352113,254.752303240741,6.35471994750539,7.6198088970583,178.0597,173.39955,299.08765,307.80465,284,216
"ZNF500",0.699193908670219,225.692881690141,222.674478240741,5.0411576883852,6.01699077984037,166.51145,166.022825,273.076025,258.0557,284,216
"ZNF419",0.962080852933168,171.079807746479,171.444043055556,5.13153749468277,5.61880761090482,114.44475,114.1836,210.583375,207.58495,284,216
"ZNF175",0.0121545798933504,110.862637676056,124.859360648148,3.45734473488974,4.47242917015495,69.69585,79.13115,151.230175,163.494075,284,216
"ZNF14",0.399962259346504,164.499753873239,172.067474537037,6.33579412556977,6.05821481763016,107.1432,119.7925,206.318775,210.14285,284,216
"ZNF85",0.730143373756398,69.6291968309859,71.8075652777778,4.51352486480214,4.14200337313231,23.285125,29.004775,92.529725,99.7889,284,216
"ZKSCAN1",0.857154824004678,806.850773943662,800.390008796296,22.564043184228,28.4978135965277,562.807725,517.6106,964.92615,972.33245,284,216
"ZNF862",0.148818563691342,344.442844014085,317.3038875,12.7709441613705,13.4609539114334,191.735675,175.0519,438.843125,401.393525,284,216
"ZNF684",0.157544473110713,49.511025,45.9076777777778,1.84201946437787,1.62893407984949,31.363375,29.534125,58.0085,55.49295,284,216
"ZNF430",0.179011793755773,133.217762676056,143.607044907407,5.48506045957523,5.13314406726974,82.07065,92.804525,166.082425,173.9187,284,216
"ZFP30",0.363123068549506,206.496027112676,218.410588888889,8.29511079001439,10.3110603990985,115.95725,125.475125,258.0279,263.5727,284,216
"ZNF549",0.0287300229932661,144.298590492958,165.310213425926,5.69704506079874,8.0340384061097,70.577225,86.454925,196.32635,213.265925,284,216
"ZNF211",0.252453517903435,201.507318309859,213.519064351852,6.26402064908039,8.7576426113506,127.889625,126.507925,254.4017,268.097975,284,216
"ZNF205",0.351587997627722,262.540178169014,253.424505555556,6.66861079387601,6.9850752569706,185.9864,188.840875,320.167,298.710575,284,216
"ZNF45",0.238834667984936,251.023151760563,262.893326388889,5.95252296460815,8.48330040103031,181.8104,181.583575,302.13065,317.052075,284,216
"ZNF133",0.774924642179586,383.974041549296,379.791726388889,9.7515433767967,10.7975306844913,266.209375,276.275475,462.935775,440.3656,284,216
"ZNF436",0.667653220293425,758.544516901408,773.245614814815,20.6220561670039,28.3634389146646,521.06145,498.087825,971.187125,903.5072,284,216
"ZNF484",0.78768549942599,98.9009457746479,97.2735587962963,4.87754509707606,2.61033737252646,66.090975,70.864875,112.2412,115.80135,284,216
"ZNF780B",0.72797408203798,284.693828521127,292.188662962963,14.4394639926192,15.7906415004993,168.18375,162.755025,335.207275,328.629175,284,216
"ZNF557",0.945813216315976,180.220687676056,180.755528703704,4.51937705220417,6.78545732679836,125.549425,114.8391,219.449175,220.675725,284,216
"ZNF337",0.851320598557036,536.162729577465,540.874564351852,16.245073116801,19.3348601257656,348.823375,360.933775,665.057675,649.2533,284,216
"ZNF317",0.940520466809524,760.018371478873,761.898506018519,15.8190051569692,20.0349970264634,596.3606,567.18835,895.964425,905.65175,284,216
"ZNF426",0.346608867919578,120.802523591549,126.600177777778,3.93358766945461,4.80091077665886,76.326825,80.940725,152.4318,163.139025,284,216
"ZNF331",0.0748258026017047,397.34138943662,468.532365277778,17.378443656462,39.6158213579102,212.203775,262.405075,521.451575,534.423425,284,216
"ZNF227",0.357888680457783,277.742375704225,287.985552777778,6.79466095261908,9.11613564604034,196.240175,191.215025,328.89055,343.265775,284,216
"ZNF141",0.174987810138014,52.6065334507042,57.0692953703704,1.51964604018944,3.19465326271955,36.08575,35.967925,65.580275,65.122175,284,216
"ZNF304",0.186179766559303,311.744634507042,329.106224074074,8.12477892842198,10.5854926654139,214.326175,219.504975,373.669425,416.56145,284,216
"ZNF132",0.880445476765264,61.9754126760563,61.4167509259259,2.4853834499839,2.728086608487,33.071375,32.884425,79.942725,79.873,284,216
"ZNF20",0.759287313001308,99.2532464788732,100.428106944444,2.48125907354925,2.9436421704241,69.9042,72.660625,120.196975,120.627575,284,216
"ZNF670",0.157417694144813,93.1998144366197,87.1407078703704,2.92271600303748,3.05087040864621,59.5504,55.05445,112.2132,108.042925,284,216
"ZFP37",0.380292221475317,63.4656007042254,59.9956731481481,2.68489007415469,2.84021672347956,31.135875,30.25415,85.18455,80.8115,284,216
"ZNF189",0.772053490615585,435.18330915493,439.98757962963,10.9539027528014,12.4014779097878,306.828525,311.00555,539.30425,521.9245,284,216
"ZNF434",0.62471237635546,340.219722535211,344.845289814815,5.72300086946839,7.79757495176681,265.492025,266.00115,401.91305,396.397675,284,216
"ZNF287",0.931040368757749,100.348536971831,100.755498148148,3.0907009232396,3.54059128623099,66.697125,68.127975,127.130025,121.978575,284,216
"ZIM3",0.965030574916268,0.134718309859155,0.129247222222222,0.0896078263975557,0.0810647494761436,0,0,0,0,284,216
"ZFP14",0.846642787720417,171.1381,169.23302962963,6.1615338138631,7.86234650717218,109.566375,100.571475,209.406625,211.596625,284,216
"ZNF473",0.159922821522948,317.275356690141,335.144164351852,7.55712227926243,10.6409346688278,218.90255,217.9579,388.3577,408.9332,284,216
"ZNF614",0.168375146801512,248.286678169014,268.936893518519,9.52412768335435,11.7408045218043,150.91715,156.12455,296.0294,335.22145,284,216
"POGK",0.0461910793600692,1817.24572570423,1955.79601944444,41.9765769307978,57.2101055858999,1391.221875,1432.93685,2009.975,2231.677225,284,216
"ZNF514",0.630519114623705,243.220931690141,236.248799074074,9.4589994782947,11.0110171082394,144.46305,130.505425,300.109975,298.255375,284,216
"ZNF300",0.0684195679500338,118.59814471831,100.640738888889,7.11199192098189,6.29885607908152,44.82045,32.728475,143.3743,140.33615,284,216
"RBAK",0.7747676995079,601.273042605634,607.441381018519,13.7519043573229,16.8349166106476,454.86075,425.1461,702.083575,735.337875,284,216
"ZNF92",0.444045174753499,220.586491549296,227.709123611111,5.77076519343938,7.49145219714914,156.098125,159.288,266.9737,265.680225,284,216
"ZNF157",0.27868594790205,3.91785633802817,3.41403888888889,0.347797057206177,0.273158274909346,0.87705,0.613025,4.6141,4.708275,284,216
"ZNF182",0.1568665466286,179.046378169014,170.006194444444,4.48592575679856,4.31969818239438,132.36635,124.6888,207.574775,210.07305,284,216
"ZNF673",0.294282901336941,251.133752112676,239.87980462963,7.37585941094131,7.55101756599571,182.492025,175.790125,289.836625,274.0437,284,216
"ZNF41",0.563881357524136,207.964924647887,211.7030375,4.21476708216784,4.93814038156067,163.1588,157.9389,240.29885,255.642175,284,216
"ZNF7",0.852641627118606,562.008376056338,565.187906944444,10.9325584772675,13.3506160838956,429.4849,413.46415,650.645575,685.5282,284,216
"ZNF214",0.56350066365016,21.1792968309859,22.3389384259259,1.24987729301421,1.60981138067849,5.347875,6.71415,28.581275,30.2421,284,216
"ZNF215",0.728177894669682,49.9867676056338,48.5797101851852,2.75165803667617,2.90443141497411,15.306,14.531775,65.546025,71.550575,284,216
"ZNF547",0.517274437213128,36.9066595070423,38.0706532407407,1.14730762689781,1.40244141808281,23.819025,23.491325,45.947175,51.028375,284,216
"ZNF773",0.0569966094144869,113.065805633803,124.742845833333,3.81323658719754,4.9116640808901,73.930375,77.506375,145.376175,152.490475,284,216
"ZNF776",0.532862397828723,339.988365492958,348.480268518519,8.48713328688747,10.9057296613185,240.89005,239.6457,412.738475,432.629975,284,216
"ZNF256",0.23284768072184,123.221268309859,131.201106944444,4.0871670243675,5.45933676196982,76.654175,76.7791,166.160375,173.489325,284,216
"ZNF599",0.352881350992849,101.061805985915,96.2371407407407,3.60825939962406,3.58955003546195,65.45695,62.040325,116.66215,116.47355,284,216
"ZNF18",0.974502458584982,226.804550352113,227.110084722222,5.84988864496568,7.8024945213874,160.089,158.42825,271.7737,269.914775,284,216
"ZKSCAN2",0.446194770133564,175.340115492958,163.358455555556,12.9558428690622,5.87048289768939,98.116125,105.233075,197.25635,197.1539,284,216
"ZNF689",0.241652531016531,170.622428169014,160.731325925926,6.52677616203224,4.46556697900358,118.3856,112.261775,194.83235,201.03025,284,216
"ZNF19",0.408830451544064,42.1453644366197,43.6128037037037,1.20519431769138,1.27752952181097,28.42795,31.6367,53.51465,53.502975,284,216
"ZNF230",0.327800014143407,96.6105978873239,100.525702777778,2.34503805622135,3.39134666728625,69.297875,68.36475,118.9008,122.017775,284,216
"ZNF222",0.639810966327346,63.9220795774648,65.3194893518519,1.94283847180652,2.27701985933243,42.558225,43.542825,79.509,81.8603,284,216
"ZNF221",0.877854608841727,13.0521852112676,13.1914481481481,0.583477936849159,0.699955034753345,6.468425,5.83305,16.3207,17.58235,284,216
"ZNF233",0.554359846823772,23.3087193661972,22.3611574074074,1.01011458980045,1.26841532242399,12.108525,9.670725,29.8739,27.985025,284,216
"ZNF235",0.76252594269467,74.0601235915493,75.0513458333333,2.06418136955605,2.60155237292536,51.266325,49.084825,90.44375,87.881125,284,216
"ZNF208",0.409622824964419,25.3945211267606,20.9222060185185,4.15773909616176,2.95324953578439,3.750375,3.628975,15.885775,17.4291,284,216
"ZNF714",0.500369070586284,183.747149647887,193.553104166667,10.3451334512706,9.64018749325329,85.61395,89.565875,232.210375,275.5204,284,216
"ZNF394",0.0347890195458151,497.778607394366,455.409690740741,15.9992217328819,9.17437853562007,381.649025,376.772525,552.03675,517.27865,284,216
"ZNF333",0.0943624751898359,187.429798591549,171.16046712963,7.41156796586097,5.3762262179199,123.5152,117.9749,220.0248,209.2402,284,216
"ZNF382",0.754014324509951,23.1368735915493,23.9936643518519,1.67710112524837,2.22656406561781,7.894,7.596825,28.286625,27.39555,284,216
"ZNF577",0.863496183905474,79.774838028169,78.7441407407407,4.09258388310262,4.27184207499149,39.9333,39.72815,97.7631,98.99785,284,216
"ZNF75A",0.643643843847126,292.524929225352,286.951627314815,8.16338132331836,8.68279431052991,201.7781,197.4136,356.08525,356.82985,284,216
"ZNF496",0.960445238281175,381.368667957746,380.605840740741,9.59104264897468,12.3183910138155,274.076075,253.3477,467.1932,454.119675,284,216
"ZNF2",0.888272513110909,121.161746478873,120.575851388889,2.93066829241125,2.82732845918845,92.61525,89.1524,136.701925,146.6239,284,216
"ZNF589",0.0210746999862479,416.384110915493,352.862265740741,17.5116122395845,21.4642996147835,209.81085,194.2437,523.57385,427.722975,284,216
"PRDM9",0.0994104349447746,3.22966690140845,1.23905277777778,1.0270172645551,0.29598328197015,0,0,0.71235,0.6114,284,216
"ZNF12",0.70025678330635,777.62043028169,786.75675,14.9717226626355,18.7674078284529,603.762575,610.1022,902.41965,913.85415,284,216
"ZNF202",0.694663507347986,312.20041056338,307.936705555556,6.50422015970624,9.04591365858058,230.30415,239.710075,382.312975,357.234425,284,216
"ZNF3",0.569394418472761,820.457162676056,804.222712037037,18.6882453131458,21.5720962444492,601.718175,586.949525,957.93225,974.242925,284,216
"ZNF606",0.795559869321291,226.943677112676,230.083399537037,8.24393104590107,8.68144791159938,142.875925,142.401475,279.90715,282.669675,284,216
"ZNF91",0.166425157709511,216.290361619718,240.956783796296,10.6841774272744,14.8073522912874,89.927275,107.714625,291.72595,303.9,284,216
"ZNF226",0.333597451983756,266.351019014084,255.89734537037,7.18160208856146,8.01429392977433,185.122375,178.9217,323.4739,309.127675,284,216
"ZNF229",0.156445529131079,127.861044014085,150.226107407407,9.55409700521854,12.9893552941283,14.4096,14.7075,191.00085,205.62895,284,216
"ZNF180",0.652538972236696,180.337327816901,183.694621759259,4.60017302206563,6.03667388469935,125.549475,127.619975,218.0431,213.788075,284,216
"ZNF641",0.929487119046918,189.25421056338,189.976912037037,5.52074796784353,5.90906376298986,130.008,132.777425,233.05755,233.861575,284,216
"ZNF610",0.0368720518933907,39.2348214788732,47.778974537037,2.39309004063958,3.46666221900179,10.819175,11.638075,55.066775,68.7158,284,216
"ZNF528",0.781758446798272,204.339002464789,208.568226851852,9.71895506901745,11.9508223587193,89.7419,84.0122,275.6593,267.036725,284,216
"ZNF701",0.0428170338927536,93.3613954225352,105.75125787037,3.56525830625075,5.19398871077438,48.182375,54.220125,133.016925,140.6705,284,216
"ZNF283",0.473874716776337,46.4686292253521,48.0249282407407,1.41903867212708,1.64867668412693,30.25615,31.580175,57.008875,60.10285,284,216
"ZNF558",0.317888613832995,454.006844014084,431.396643981481,16.1486620643746,14.8836326619191,306.828125,295.97015,517.664525,522.706425,284,216
"ZNF597",0.474528854033065,40.9024661971831,38.8436953703704,1.92078923896649,2.12185984412165,13.00105,11.0614,59.45185,57.413725,284,216
"ZNF30",0.407189761697354,80.346689084507,84.133887962963,2.95118497130882,3.51399111474485,49.85715,49.961925,98.4778,106.44335,284,216
"ZNF354A",0.497342665303505,269.155834859155,260.369826388889,8.74948796791904,9.36387900855029,183.705875,183.57095,318.2858,312.96415,284,216
"ZNF764",0.0197302304852628,209.334672535211,188.05578287037,6.98163723099183,4.95272863409723,149.67475,139.341025,238.54645,213.387125,284,216
"ZNF747",0.0173229320843454,245.65593943662,223.401486111111,6.98915911353212,5.45389425108678,177.675175,169.0208,282.49335,263.32155,284,216
"ZNF778",0.780520148862728,67.2306408450704,68.0836564814815,2.00454603336644,2.31570428424988,44.9615,48.1374,81.786525,79.782175,284,216
"ZNF212",0.111790547577501,438.161022183099,413.840206018519,11.2655001200538,9.3282739013101,342.0237,313.765275,513.7374,508.705825,284,216
"ZNF282",0.104974350675202,985.638865140845,934.459303240741,22.3073643580884,21.0994137511256,745.0263,716.94035,1196.534325,1104.46765,284,216
"ZNF160",0.00187930506340572,494.709863028169,566.558481018518,14.5166049468572,18.1819829854287,330.504225,410.348025,635.639625,679.59305,284,216
"ZNF415",0.031311116573756,77.5881007042254,94.9698958333333,4.66509529833093,6.89887730585429,17.891625,22.6145,127.634025,136.52875,284,216
"ZNF439",0.247699148942535,79.4516961267606,86.7245069444444,3.97810197587839,4.95666029263351,31.383625,36.432475,104.8558,114.916,284,216
"ZNF440",0.469717742816222,387.650202112676,404.753730555556,13.363710211737,20.6443237559314,233.913725,224.52805,476.342175,485.66305,284,216
"ZNF562",0.687255359630873,550.862404929577,559.608793518518,13.9956869704362,16.7710479259039,415.263575,394.041625,643.975475,643.46485,284,216
"ZNF561",0.601875044299514,700.375277464789,684.376333333333,19.4719950321221,24.0730302664447,501.230475,479.80915,821.329925,781.9346,284,216
"ZNF584",0.416484522922096,211.844394014085,217.955217592593,4.82704106758322,5.82794343247065,155.986425,156.129425,258.575725,273.176225,284,216
"ZNF274",0.790307707265306,440.958583450704,436.193315740741,11.4134093547878,14.0218939997918,301.1988,299.79325,544.1823,545.6229,284,216
"ZIK1",0.479699001285484,74.6627700704225,80.2362662037037,4.68006878425898,6.61681492296945,14.563175,15.11605,117.27965,102.23355,284,216
"ZNF540",0.795932530200887,32.0488841549296,30.8592125,2.87140408747249,3.67995636294326,10.928525,11.576825,33.350325,33.9834,284,216
"ZNF570",0.455319262904118,60.3263954225352,63.2709060185185,2.62792114669006,2.91227548287763,30.4577,37.6551,79.2843,76.756275,284,216
"ZNF57",0.182522037954445,133.005248239437,124.600085648148,4.48355583428222,4.16773662268346,86.50515,80.683,153.6525,155.539025,284,216
"ZNF556",0.324714530153996,19.6462679577465,17.1792375,1.639231674069,1.89457366281589,0.3624,0.359575,30.348825,23.466025,284,216
"ZNF554",0.692595474348626,107.556418309859,109.5902625,3.49261108560785,3.69723769613882,67.197475,72.082825,134.920075,135.7419,284,216
"ZNF738",0.937863577052177,183.696065140845,182.571749074074,9.78550479991588,10.3764303739722,67.2148,76.648475,231.59815,242.788775,284,216
"ZNF596",0.392054892332796,44.9706672535211,42.3425546296296,2.20741613393431,1.98748595724537,23.7142,21.442075,54.757825,52.512375,284,216
"ZNF621",0.953057826957054,468.482413028169,467.433819907407,12.056523629218,12.8631939452018,344.61535,335.58505,532.73445,562.4036,284,216
"ZNF680",0.83507842475969,265.37348028169,268.590795833333,10.690357216298,10.7738735808302,159.377,170.317075,314.732525,327.54815,284,216
"ZNF483",0.947031556948002,10.5766940140845,10.5116791666667,0.667796019066392,0.697811013309015,4.250525,4.376,13.610075,12.348425,284,216
"ZNF417",0.168961514956555,150.934462323944,160.365963425926,4.09411823373343,5.71514064337855,105.007225,102.356625,186.311075,186.332125,284,216
"ZNF791",0.666996894017177,219.795379225352,223.273513888889,5.41166901490934,5.93148884086512,158.97505,158.5572,262.72945,270.07695,284,216
"ZNF519",0.536954822734188,60.2835045774648,62.6211861111111,2.21572146299298,3.21517170331776,34.47885,32.923325,73.8436,79.26335,284,216
"ZNF25",0.676358859577323,204.241119014085,200.812497222222,5.80465348290612,5.50801460472566,140.23795,143.970175,238.46175,241.80375,284,216
"ZNF77",0.414236493045866,118.562471830986,113.761048148148,3.89585774783498,4.37676586994877,74.66425,71.753625,137.381,144.64605,284,216
"ZNF169",0.0512609412788615,74.4384309859155,67.7962282407407,2.33198549910163,2.40643087060546,48.203975,44.3883,90.6132,83.134075,284,216
"ZNF613",0.00553474793916586,82.222323943662,94.0117796296296,2.63510215373363,3.39661536700081,55.3107,62.18505,102.5497,122.0131,284,216
"ZNF404",0.25981969926088,36.2496133802817,33.1435976851852,1.96273719402301,1.81836127795934,16.052,14.6588,45.6958,42.472775,284,216
"ZNF135",0.132512665974722,85.4142545774648,103.523364814815,7.33053752314194,9.85120167529458,15.6304,19.736075,115.80875,125.321275,284,216
"ZNF620",0.10973604717273,32.8773834507042,36.5150652777778,1.48394092795302,1.72352519531701,18.58755,18.02875,40.992275,46.9744,284,216
"ZNF619",0.18601003918088,49.1776102112676,51.8578319444444,1.33465383610634,1.51859935477392,33.1258,36.23025,60.653925,63.773975,284,216
"ZNF354C",0.813244764418498,35.4576165492958,36.1093597222222,1.84983794456993,2.0200338806377,13.7016,17.5968,45.521025,46.61745,284,216
"ZNF114",0.406979465023734,44.764713028169,50.4757907407407,3.92699016474613,5.96762526791027,7.479,5.01215,58.18515,56.688825,284,216
"ZNF454",0.975330220406906,9.84903415492958,9.80771388888889,0.809608869703689,1.10100589585894,2.03435,2.243125,10.75275,9.84375,284,216
"ZNF543",0.0905729350044689,146.041512323944,156.494094907407,3.71869008674643,5.10484846787153,101.1328,103.79775,177.80675,197.842475,284,216
"ZNF354B",0.481913759963877,103.852301408451,100.298784722222,3.21143550975728,3.96167822454111,67.06815,64.310775,125.997875,123.957825,284,216
"ZNF223",0.96448026085719,99.3017133802817,99.512174537037,3.02503663761794,3.67684118807912,65.2764,60.91785,127.67445,130.88515,284,216
"ZNF713",0.722424189375393,55.6609524647887,58.7893962962963,6.48436515112001,5.40020738268376,22.1065,21.621075,60.014275,66.838575,284,216
"ZNF552",0.575899869872298,207.397906338028,216.002376388889,7.40221534261669,14.6987713707408,125.8086,121.568075,258.26815,240.56965,284,216
"ZNF154",0.511353105553902,37.2127623239437,39.8546388888889,2.54380904845574,3.17189897611935,14.559,13.350275,40.796225,45.3814,284,216
"ZNF571",0.633265614729855,74.4902577464789,72.3902481481481,3.0879756053932,2.99190565964636,43.498975,44.366325,90.371775,91.13235,284,216
"ZNF443",0.961435160811629,72.4313257042254,72.6078671296296,2.33099857721702,2.84906186274862,42.977525,43.625525,91.455325,89.6447,284,216
"ZNF792",0.523301710407866,98.7438926056338,102.370094907407,3.52056436239854,4.5777316461248,56.67225,58.666675,122.75185,125.370175,284,216
"ZFP82",0.22007234638667,73.3891267605634,81.350874537037,3.96510985096732,5.30146957213041,26.92955,28.093475,102.79625,107.135075,284,216
"ZNF707",0.500874156926084,292.975747183099,284.518188425926,7.76654848334366,10.1494623954366,212.9936,185.603975,349.9491,362.3529,284,216
"ZNF746",0.888738034040394,679.589716549296,684.221099537037,21.6170376346662,25.132328114074,445.739125,445.191075,804.43665,815.8652,284,216
"ZNF678",0.660740940481731,41.5676538732394,42.4819152777778,1.27352667115372,1.70157509139753,26.515925,26.0135,50.8036,53.4549,284,216
"HKR1",0.844338750662285,586.201433802817,578.893828240741,25.9328543928774,25.6241978767489,368.513625,346.148625,680.77995,687.418175,284,216
"ZNF101",0.548759549916481,117.884266197183,121.056685185185,3.73002888956196,3.56342386570682,80.181525,83.1726,138.533825,145.765525,284,216
"ZNF716",0.55727523529423,3.06394929577465,2.46415601851852,0.750014067069839,0.631449681319915,0,0,0,0,284,216
"ZNF708",0.779782726262608,112.98156056338,114.783210648148,4.61210171462122,4.21343916223416,71.012375,71.714825,140.0144,148.717275,284,216
"ZNF721",0.487367212937273,353.213957394366,369.446629166667,9.39002091013568,23.7712812380487,253.1306,249.8652,426.039025,423.13455,284,216
